symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
SKL,2.52,75.0,5.229,-0.71,4,4729.7,4.23,"{""동적익절"": 3, ""손절"": 1}"
SKR,-0.35,50.0,0.71,-1.15,4,4657.95,2.38,"{""손절"": 2, ""동적익절"": 1, ""트레일링스탑"": 1}"
SKY,-0.91,0.0,0.0,-1.03,2,2310.52,14.71,"{""손절"": 1, ""횡보정리"": 1}"
SOL,-1.71,28.57,0.346,-2.5,7,8123.91,14.2,"{""손절"": 4, ""동적익절"": 2, ""횡보정리"": 1}"
SOLV,4.01,50.0,2.595,-3.17,6,7100.55,2.89,"{""손절"": 3, ""동적익절"": 2, ""트레일링스탑"": 1}"
SOMI,4.25,80.0,8.128,-0.76,5,5939.74,3.5,"{""동적익절"": 3, ""손절"": 1, ""트레일링스탑"": 1}"
SONIC,0.52,100.0,,-0.17,1,1179.72,7.58,"{""동적익절"": 1}"
SOON,8.3,52.63,2.273,-2.81,19,22374.64,3.13,"{""손절"": 8, ""동적익절"": 7, ""트레일링스탑"": 3, ""백테스트종료"": 1}"
SPK,-2.45,44.44,0.501,-4.4,9,10438.49,2.58,"{""손절"": 5, ""동적익절"": 3, ""트레일링스탑"": 1}"
SPURS,0.18,54.55,1.03,-3.11,11,12837.92,0.97,"{""손절"": 5, ""동적익절"": 4, ""트레일링스탑"": 2}"
STABLE,-0.89,50.0,0.676,-2.39,6,6977.66,5.53,"{""손절"": 3, ""동적익절"": 2, ""트레일링스탑"": 1}"
STEEM,-1.84,0.0,0.0,-1.98,2,2287.22,2.33,"{""손절"": 2}"
STRK,1.78,80.0,2.392,-1.53,5,5877.95,3.43,"{""동적익절"": 4, ""손절"": 1}"
SUI,-2.27,25.0,0.206,-3.38,8,9276.39,8.84,"{""트레일링스탑"": 1, ""손절"": 4, ""동적익절"": 1, ""횡보정리"": 1, ""백테스트종료"": 1}"
SUNDOG,5.89,100.0,,-0.82,4,4814.22,1.1,"{""동적익절"": 4}"
SUPER,-1.07,33.33,0.429,-1.26,3,3473.26,3.0,"{""손절"": 2, ""동적익절"": 1}"
SWAP,-0.52,42.86,0.842,-2.69,7,8153.63,2.9,"{""동적익절"": 3, ""손절"": 3, ""트레일링스탑"": 1}"
SXT,-0.6,0.0,0.0,-0.66,1,1151.52,2.5,"{""손절"": 1}"
TAIKO,1.65,100.0,,-0.5,2,2374.6,2.5,"{""동적익절"": 2}"
TAO,-1.19,0.0,0.0,-1.48,2,2303.49,9.33,"{""손절"": 2}"
TAVA,-3.47,16.67,0.253,-3.89,6,6912.92,1.75,"{""손절"": 5, ""동적익절"": 1}"
TDROP,-0.19,50.0,0.811,-1.14,2,2328.52,2.12,"{""동적익절"": 1, ""손절"": 1}"
TEMCO,2.56,66.67,8.034,-0.88,3,3564.24,8.67,"{""횡보정리"": 1, ""동적익절"": 2}"
THE,2.2,66.67,3.668,-1.46,3,3555.04,1.03,"{""손절"": 1, ""트레일링스탑"": 1, ""동적익절"": 1}"
THETA,-0.62,0.0,0.0,-0.68,1,1151.15,1.25,"{""손절"": 1}"
TOWNS,0.09,40.0,1.069,-1.34,5,5835.68,1.42,"{""손절"": 2, ""동적익절"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
TRAC,-1.72,33.33,0.116,-1.89,3,3456.99,3.56,"{""손절"": 2, ""트레일링스탑"": 1}"
TREE,0.78,100.0,,-0.34,2,2352.82,5.62,"{""동적익절"": 1, ""트레일링스탑"": 1}"
TRUMP,-1.48,0.0,0.0,-1.6,2,2296.19,2.71,"{""손절"": 2}"
TRUST,2.02,100.0,,-0.89,4,4717.28,1.85,"{""트레일링스탑"": 2, ""동적익절"": 2}"
TRX,-0.5,33.33,0.324,-1.25,3,3487.51,17.69,"{""횡보정리"": 1, ""손절"": 1, ""동적익절"": 1}"
TURBO,3.07,85.71,5.316,-1.05,7,8243.66,5.5,"{""동적익절"": 5, ""트레일링스탑"": 1, ""손절"": 1}"
UMA,0.49,60.0,1.356,-1.23,5,5845.53,5.42,"{""동적익절"": 3, ""손절"": 2}"
UOS,-3.09,25.0,0.295,-3.65,8,9255.87,5.44,"{""손절"": 5, ""동적익절"": 1, ""트레일링스탑"": 1, ""횡보정리"": 1}"
VIRTUAL,-1.97,40.0,0.44,-3.91,10,11617.21,7.03,"{""트레일링스탑"": 2, ""손절"": 6, ""동적익절"": 2}"
VVV,0.29,66.67,1.17,-1.72,6,7007.29,2.81,"{""트레일링스탑"": 3, ""동적익절"": 1, ""손절"": 2}"
WAL,8.34,100.0,,-0.21,1,1375.57,1.83,"{""동적익절"": 1}"
WAXL,-3.33,0.0,0.0,-3.56,4,4583.33,2.42,"{""손절"": 4}"
WAXP,0.23,60.0,1.121,-1.68,5,5839.0,6.73,"{""동적익절"": 2, ""손절"": 2, ""트레일링스탑"": 1}"
WCT,-0.92,60.0,0.337,-1.65,5,5810.34,2.95,"{""손절"": 2, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
WET,-1.4,40.0,0.445,-2.53,5,5798.37,1.43,"{""손절"": 3, ""동적익절"": 1, ""트레일링스탑"": 1}"
WIKEN,0.76,60.0,1.574,-1.76,5,5852.39,1.22,"{""손절"": 2, ""동적익절"": 2, ""백테스트종료"": 1}"
WLD,-1.97,40.0,0.451,-3.52,10,11617.41,8.83,"{""트레일링스탑"": 2, ""손절"": 5, ""동적익절"": 2, ""횡보정리"": 1}"
WLFI,0.0,0.0,,0.0,0,0.0,0.0,{}
WNCG,0.9,66.67,6.985,-1.1,3,3522.63,8.81,"{""횡보정리"": 1, ""트레일링스탑"": 1, ""동적익절"": 1}"
XAI,0.08,50.0,1.11,-0.74,2,2335.23,3.25,"{""동적익절"": 1, ""손절"": 1}"
XAN,-0.66,42.86,0.776,-2.61,7,8150.2,3.1,"{""동적익절"": 3, ""손절"": 4}"
XAUT,0.0,0.0,,0.0,0,0.0,0.0,{}
XCN,-1.54,25.0,0.202,-1.78,4,4627.98,5.0,"{""손절"": 3, ""동적익절"": 1}"
XION,1.27,53.85,1.227,-3.09,13,15198.49,2.16,"{""손절"": 5, ""동적익절"": 4, ""트레일링스탑"": 4}"
XLM,0.14,50.0,1.925,-0.74,2,2336.83,13.83,"{""트레일링스탑"": 1, ""횡보정리"": 1}"
XPL,-0.81,50.0,0.351,-1.59,4,4646.36,1.85,"{""트레일링스탑"": 2, ""손절"": 2}"
XPLA,1.21,75.0,1.89,-1.82,4,4696.99,6.73,"{""동적익절"": 3, ""손절"": 1}"
XPR,-1.3,0.0,0.0,-1.56,2,2300.81,12.5,"{""횡보정리"": 1, ""손절"": 1}"
XRP,-0.51,50.0,0.76,-2.49,10,11653.88,16.25,"{""동적익절"": 5, ""손절"": 3, ""횡보정리"": 2}"
XTER,0.58,66.67,1.814,-0.76,3,3514.45,4.17,"{""동적익절"": 2, ""손절"": 1}"
XVS,-6.81,57.14,0.341,-9.04,7,7995.88,1.51,"{""동적익절"": 4, ""손절"": 3}"
XYO,1.07,100.0,,-0.1,1,1193.43,0.17,"{""동적익절"": 1}"
YB,0.4,50.0,1.201,-1.59,6,7010.0,1.57,"{""동적익절"": 3, ""손절"": 3}"
ZAMA,-0.12,57.14,0.935,-1.31,7,8163.78,2.25,"{""동적익절"": 1, ""손절"": 3, ""트레일링스탑"": 3}"
ZBT,-2.0,33.33,0.345,-3.13,6,6949.87,0.93,"{""손절"": 4, ""동적익절"": 1, ""트레일링스탑"": 1}"
ZETA,0.51,40.0,1.313,-1.33,5,5846.11,40.62,"{""손절"": 2, ""강제청산"": 1, ""동적익절"": 2}"
ZK,-1.17,0.0,0.0,-1.29,2,2303.95,3.25,"{""손절"": 2}"
ZRC,2.92,80.0,3.095,-1.39,5,5906.46,4.38,"{""동적익절"": 3, ""트레일링스탑"": 1, ""손절"": 1}"
ZTX,1.95,62.5,1.592,-2.3,8,9382.29,1.53,"{""손절"": 3, ""동적익절"": 5}"
